Pontuação: 18 | Data: 11/06/2025 | Hora: 15:16:55
Pontuação: 16 | Data: 11/06/2025 | Hora: 15:18:41
Jogador: gf  | Pontuação: 0 | Data: 11/06/2025 | Hora: 15:25:11
Jogador: nabert | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:03:04
Jogador: dfv | Pontuação: 1 | Data: 11/06/2025 | Hora: 16:03:44
Jogador:  v  | Pontuação: 4 | Data: 11/06/2025 | Hora: 16:05:05
Jogador: f  | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:05:21
Jogador: fg | Pontuação: 3 | Data: 11/06/2025 | Hora: 16:05:50
Jogador: k | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:06:22
Jogador: v | Pontuação: 4 | Data: 11/06/2025 | Hora: 16:06:57
Jogador: fv | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:07:12
Jogador: jkjdsc | Pontuação: 1 | Data: 11/06/2025 | Hora: 16:09:18
Jogador: hj | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:21:19
Jogador: dfv | Pontuação: 1 | Data: 11/06/2025 | Hora: 16:22:57
Jogador: jkjk | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:25:25
Jogador: nanwd | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:29:14
Jogador: nmbiukl | Pontuação: 2 | Data: 11/06/2025 | Hora: 16:29:39
Jogador: ~~gfbr | Pontuação: 0 | Data: 11/06/2025 | Hora: 16:30:58
Jogador: jb | Pontuação: 0 | Data: 11/06/2025 | Hora: 19:49:15
Jogador:    | Pontuação: 0 | Data: 11/06/2025 | Hora: 19:49:44
Jogador: eev | Pontuação: 12 | Data: 11/06/2025 | Hora: 19:52:39
Jogador: jkl | Pontuação: 2 | Data: 11/06/2025 | Hora: 19:53:57
Jogador: hjg | Pontuação: 0 | Data: 11/06/2025 | Hora: 19:54:10
Jogador: kjhj | Pontuação: 12 | Data: 11/06/2025 | Hora: 19:55:33
Jogador: gfbf | Pontuação: 3 | Data: 11/06/2025 | Hora: 20:08:14
Jogador: nbjh | Pontuação: 2 | Data: 11/06/2025 | Hora: 20:17:00
Jogador: ,mnbhj | Pontuação: 4 | Data: 11/06/2025 | Hora: 20:17:52
Jogador: vev | Pontuação: 9 | Data: 12/06/2025 | Hora: 14:53:27
Jogador: dd | Pontuação: 3 | Data: 12/06/2025 | Hora: 15:01:54
