Jogador: dc f | Pontuação: 0 | Data: 12/06/2025 | Hora: 15:43:43
Jogador: dscw | Pontuação: 0 | Data: 12/06/2025 | Hora: 15:46:29
Jogador: dfvf | Pontuação: 0 | Data: 12/06/2025 | Hora: 15:49:03
Jogador: scwe | Pontuação: 0 | Data: 12/06/2025 | Hora: 15:52:55
Jogador: c d | Pontuação: 0 | Data: 12/06/2025 | Hora: 15:57:30
Jogador: rn | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:43:33
Jogador: rebr | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:45:54
Jogador: dsvb | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:47:53
Jogador: df ef | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:48:37
Jogador: f fg | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:49:10
Jogador: reb | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:49:45
Jogador: eer | Pontuação: 0 | Data: 12/06/2025 | Hora: 18:50:40
Jogador: dfb | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:01:44
Jogador: gfnrnt | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:03:33
Jogador: ewe | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:06:52
Jogador: ft y66yn | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:09:13
Jogador: fgngn | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:09:31
Jogador: errb | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:11:37
Jogador: dd3c3e | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:15:20
Jogador:  d23 | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:17:43
Jogador: c  | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:19:46
Jogador: kjoijoç | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:20:09
Jogador:  as ws | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:22:41
Jogador: lç w | Pontuação: 0 | Data: 12/06/2025 | Hora: 19:22:53
